iteration	vector	severity	owasp	stride	confidence	location	description
13	regression-win-lock-toctou	Low	A04	DoS	Possible	pkg/instance/lock_windows.go	prior Finding 13: Windows lock takeover Remove+Rename race still present; deemed acceptable — recurring Low
14	regression-dolt-root-user	Low	A07	Spoofing	Confirmed	internal/datasource/metadata.go:63	prior Finding 14: still hardcoded root with no password; no BT_DOLT_USER/BT_DOLT_PASSWORD env vars added — recurring Low
15	regression-tui-panic-recover	Low	A04	DoS	Possible	cmd/bt/root.go:748-820	prior Finding 15: tea.NewProgram and p.Run() not wrapped in defer recover; terminal could be left in raw mode on panic — recurring Low
16	new-tail-line-injection	Low	A09	Tampering	Confirmed	pkg/tail/format.go:97,120;pkg/ui/events/diff.go:217	NEW: bt tail compact/human formats emit Summary and Title verbatim with %s; comments/titles containing newlines split a single event across multiple lines, breaking line-oriented downstream parsers (log injection class).
17	new-events-persist	Info	-	-	Confirmed	pkg/ui/events/persist.go	NEW: ring buffer JSONL persistence — typed Event struct, 1MiB line cap, corrupt-line tolerant, fixed path under user home — clean
18	new-baseline-runGit	Info	-	-	Confirmed	pkg/baseline/baseline.go:189-197	NEW: runGit uses literal hardcoded git args; no user-input flow; safe
19	new-drift-config	Info	-	-	Confirmed	pkg/drift/config.go:115	NEW: yaml.Unmarshal with typed Config and Validate(); safe
20	new-view-projections	Info	-	-	Confirmed	pkg/view/compact_issue.go:216	NEW: typed json.Unmarshal into string for metadata; safe
21	new-agents-prefs	Info	-	-	Confirmed	pkg/agents/prefs.go:54-118	NEW: hash-based path under user config dir, 0644 perms, typed JSON; safe
22	new-robot-cobra-flags	-	A03	Tampering	-	cmd/bt/cobra_robot.go:78,80	NEW: --as-of and --diff-since user flags flow into git rev-parse via pkg/loader/git.go (uses --end-of-options) — safe at entry, but flagged for the correlator path which is Finding 5
23	new-search-fts	Info	-	-	Confirmed	pkg/search/	NEW: pure-Go embedding/scoring, no SQL — safe
24	new-dolt-bind-trust	Info	A05	Spoofing	Possible	internal/datasource/metadata.go:30-104	NEW: bt blindly trusts host=127.0.0.1; if Dolt config.yaml has been tampered to bind elsewhere, bt has no validation. Adversary needs filesystem write access already; minimal incremental risk
25	new-preview-server-no-timeouts	Low	A04	DoS	Confirmed	pkg/export/preview.go:59-62	NEW: PreviewServer http.Server has no ReadHeaderTimeout/ReadTimeout/WriteTimeout/IdleTimeout; Go default is no timeout. Local 127.0.0.1 only, but slowloris-class hang possible from a buggy local client
26	new-actions-script-injection	Low	A03	Tampering	Confirmed	.github/workflows/fuzz.yml:36,49,60,67,74,81,88,95,119	NEW: workflow_dispatch input fuzz_time interpolated as github.event.inputs.fuzz_time into shell run-blocks (and via step output). Mitigated by workflow_dispatch requiring repo write access. release-notes.yml uses correct env-var pattern.
27	cross-debug-leaks	Info	-	-	Confirmed	pkg/debug/debug.go;pkg/bql/parser.go	BT_DEBUG/slog.Debug surfaces: BQL parser logs token kind+position only (no secrets); DSN-leak-via-error already covered as iter 10. Otherwise clean.
28	cross-hardcoded-secrets	Info	-	-	Confirmed	(repo-wide grep)	No AKIA/ghp_/sk_live_/sk_test_ patterns; no embedded credentials in source — clean
29	cross-browser-url-chain	Info	-	-	Confirmed	pkg/ui/model_export.go:20-62	getCommitURL constructs URL from git remote (repo-controlled) + SHA; passes argv to rundll32/open/xdg-open (no shell metachar interpretation); URL handlers don't shell-execute path content — safe in practice
30	cross-hooks-env-expand	Info	-	-	Confirmed	pkg/hooks/executor.go:140,169	Hook env var expansion uses os.Expand (template, not shell eval); values go to cmd.Env not into the command string itself — safe (the by-design RCE via hook command itself is iter 2)
